case_id,start_timestamp,complete_timestamp,task_id,throughput_time_days
1020120027,2013-02-09,2014-02-09,2,365.0
320170041,2018-02-15,2019-02-15,3,365.0
320170020,2017-10-02,2018-10-02,5,365.0
320170021,2017-10-02,2018-10-02,3,365.0
320170022,2017-10-02,2018-10-02,5,365.0
320170023,2017-10-02,2018-10-02,3,365.0
320170024,2017-10-02,2018-10-02,3,365.0
320170039,2018-02-15,2019-02-15,4,365.0
320170040,2018-02-15,2019-02-15,4,365.0
320170042,2018-02-15,2019-02-15,5,365.0
320200018,2020-12-01,2021-12-01,4,365.0
320170043,2018-02-05,2019-02-05,2,365.0
320170044,2018-02-05,2019-02-05,3,365.0
320170045,2018-02-05,2019-02-05,4,365.0
320170046,2018-02-05,2019-02-05,4,365.0
320170047,2018-02-05,2019-02-05,4,365.0
320170048,2018-02-05,2019-02-05,4,365.0
320170049,2018-02-05,2019-02-05,3,365.0
320170019,2017-10-02,2018-10-02,3,365.0
320170018,2017-10-02,2018-10-02,3,365.0
320170017,2017-10-02,2018-10-02,2,365.0
320170016,2017-10-02,2018-10-02,3,365.0
320170001,2017-10-02,2018-10-02,3,365.0
320170002,2017-10-02,2018-10-02,2,365.0
320170003,2017-10-02,2018-10-02,5,365.0
320170004,2017-10-02,2018-10-02,5,365.0
320170005,2017-10-02,2018-10-02,3,365.0
320170006,2017-10-02,2018-10-02,5,365.0
320170007,2017-10-02,2018-10-02,3,365.0
320170008,2017-10-02,2018-10-02,2,365.0
320170009,2017-10-02,2018-10-02,5,365.0
320170010,2017-10-02,2018-10-02,5,365.0
320170011,2017-10-02,2018-10-02,3,365.0
320170012,2017-10-02,2018-10-02,3,365.0
320170013,2017-10-02,2018-10-02,4,365.0
320170014,2017-10-02,2018-10-02,3,365.0
320170015,2017-10-02,2018-10-02,2,365.0
320180001,2018-08-13,2019-08-13,4,365.0
320180002,2018-08-13,2019-08-13,6,365.0
320180006,2018-08-13,2019-08-13,4,365.0
320190007,2019-09-16,2020-09-15,2,365.0
320200002,2020-12-01,2021-12-01,5,365.0
320200003,2020-12-01,2021-12-01,4,365.0
320200004,2020-12-01,2021-12-01,4,365.0
320200005,2020-12-01,2021-12-01,5,365.0
320200006,2020-12-01,2021-12-01,4,365.0
320200007,2020-12-01,2021-12-01,3,365.0
320200008,2020-12-01,2021-12-01,3,365.0
320200009,2020-12-01,2021-12-01,3,365.0
320200010,2020-12-01,2021-12-01,3,365.0
320200011,2020-12-01,2021-12-01,3,365.0
320200012,2020-12-01,2021-12-01,3,365.0
320200013,2020-12-01,2021-12-01,4,365.0
320200014,2020-12-01,2021-12-01,4,365.0
320200015,2020-12-01,2021-12-01,5,365.0
320200016,2020-12-01,2021-12-01,4,365.0
320200001,2020-12-01,2021-12-01,4,365.0
320190006,2019-09-16,2020-09-15,3,365.0
320180007,2018-08-13,2019-08-13,5,365.0
320190005,2019-09-16,2020-09-15,4,365.0
320180008,2018-08-13,2019-08-13,3,365.0
320180009,2018-08-13,2019-08-13,4,365.0
320180012,2018-08-13,2019-08-13,3,365.0
320180013,2018-08-13,2019-08-13,4,365.0
320180014,2018-08-13,2019-08-13,5,365.0
320180015,2018-08-13,2019-08-13,5,365.0
320180016,2018-08-13,2019-08-13,3,365.0
320180017,2018-08-13,2019-08-13,4,365.0
320180018,2018-08-13,2019-08-13,5,365.0
320180019,2018-08-13,2019-08-13,3,365.0
320180020,2018-08-13,2019-08-13,4,365.0
320190001,2019-09-16,2020-09-15,4,365.0
320190002,2019-09-16,2020-09-15,5,365.0
320190003,2019-11-01,2020-10-31,4,365.0
320190004,2019-11-01,2020-10-31,5,365.0
320160031,2016-10-03,2017-10-03,3,365.0
320160030,2016-10-03,2017-10-03,2,365.0
320160029,2016-10-03,2017-10-03,2,365.0
2520190001,2019-07-12,2020-07-11,3,365.0
2520190003,2019-07-12,2020-07-11,5,365.0
2520190004,2019-07-12,2020-07-11,4,365.0
2520200001,2020-11-11,2021-11-11,8,365.0
2520200002,2020-11-12,2021-11-12,7,365.0
2520210001,2021-07-01,2022-07-01,5,365.0
2520210002,2021-07-01,2022-07-01,4,365.0
2520220001,2022-08-01,2023-08-01,5,365.0
2520220002,2022-08-01,2023-08-01,3,365.0
2520220003,2022-08-10,2023-08-10,5,365.0
2520220004,2022-08-10,2023-08-10,5,365.0
2720170001,2017-06-01,2018-06-01,3,365.0
2720170002,2017-06-01,2018-06-01,3,365.0
2720170003,2017-06-01,2018-06-01,3,365.0
2720170004,2017-08-01,2018-08-01,3,365.0
2720170005,2017-08-01,2018-08-01,4,365.0
2520190002,2019-07-12,2020-07-11,6,365.0
2520180004,2018-09-12,2019-09-12,5,365.0
2720180001,2018-07-01,2019-07-01,4,365.0
2520180003,2018-09-12,2019-09-12,3,365.0
2520140007,2014-10-02,2015-10-02,4,365.0
2520140008,2014-10-02,2015-10-02,5,365.0
2520150009,2015-09-07,2016-09-06,2,365.0
2520150010,2015-09-07,2016-09-06,4,365.0
2520150011,2015-09-07,2016-09-06,3,365.0
2520150012,2015-09-07,2016-09-06,5,365.0
2520170001,2017-10-27,2018-10-27,5,365.0
2520170002,2017-10-27,2018-10-27,6,365.0
2520170003,2017-10-26,2018-10-26,4,365.0
2520170004,2017-10-26,2018-10-26,3,365.0
2520170005,2017-10-26,2018-10-26,5,365.0
2520170006,2017-11-01,2018-11-01,4,365.0
2520170007,2017-11-01,2018-11-01,3,365.0
2520180001,2018-09-03,2019-09-03,3,365.0
2520180002,2018-09-03,2019-09-03,4,365.0
