feature,importance
task_type,13.231735405270076
area,12.51475226723944
duration_est_days,11.69731779020103
complexity_avg_delay,9.582474842913026
complexity_level,7.945780026666262
area_std_delay,7.187697390398654
area_median_delay,6.346278394228827
duration_est_log,5.772317279745155
workload_per_person,5.168615396596071
type_std_delay,5.055502416758193
type_avg_delay,4.94884381191433
area_avg_delay,3.8018078800629214
complexity_std_delay,2.6977767568880244
duration_est_squared,2.0262750746162115
assignees_count,2.022825266501821
dependencies,0.0
priority,0.0
priority_numeric,0.0
complexity_numeric,0.0
is_high_complexity,0.0
complexity_priority,0.0
dependency_ratio,0.0
is_single_person,0.0
has_dependencies,0.0
is_critical_priority,0.0
